id,address,bad_address,PO,lat,lon,score,precision,precise_geocode,fips_tract_id,fraction_assisted_income,fraction_high_school_edu,median_income,fraction_no_health_ins,fraction_poverty,fraction_vacant_housing,dep_index,dist_to_1100,dist_to_1200,length_1100,length_1200
60002110309,6120 ST REGIS DR SYCAMORE TOWNSHIP OH 45236,FALSE,FALSE,39.21411,-84.378857,0.529,street,TRUE,39061024001,0.03795233892321271,0.9660834454912517,61474,0.08143828960155491,0.07764098490865766,0.0936,0.2756227744628455,741.2886737541495,1381.4861105237967,0,0
22100190292,4162 CHAMBERS ST CINCINNATI OH 45223,FALSE,FALSE,39.162385,-84.534013,0.947,range,TRUE,39061007400,0.15155440414507773,0.8701298701298701,42031,0.1668757841907152,0.2026266416510319,0.23940886699507388,0.4337676838787952,528.0111512617694,471.26726286969307,0,0
61201110164,17 CARPENTERS RIDGE RD BLUE ASH OH 45241,FALSE,FALSE,39.24182,-84.405757,0.801,range,TRUE,39061023501,0.03676048248133257,0.9477658904971681,101984,0.0434883182974786,0.03269944341372913,0.06848582129481005,0.20847197268480477,1957.6791568323592,1281.5370065566533,0,0
52500160078,6639 APACHE CIR MADEIRA OH 45243,FALSE,FALSE,39.183676,-84.380026,0.94,range,TRUE,39061024100,0.05772882643372579,0.9599224305106658,75603,0.057049955660656224,0.04714750221696719,0.03055964653902798,0.24286684219833005,978.7665977395773,1563.8625269078298,0,0
50003700268,6296 CRITTENDEN DR ANDERSON TOWNSHIP OH 45244,FALSE,FALSE,39.114309,-84.375814,0.755,range,TRUE,39061024902,0.034594594594594595,0.9656777196044212,116619,0.04346704501483297,0.015320695923136847,0.033101045296167246,0.17797290118293568,6351.695877919171,847.2032381419166,0,0
17900770440,1029 RUTLEDGE AV CINCINNATI OH 45205,FALSE,FALSE,39.11109,-84.58803,0.922,range,TRUE,39061009700,0.3494598403006106,0.7811955890887986,27845,0.13112827400940227,0.42612491605104097,0.1738455568490493,0.5644072163546874,4597.213658340598,240.79719340182882,0,318.1127426315046
60002310072,8462 WICKLOW AV SYCAMORE TOWNSHIP OH 45236,FALSE,FALSE,39.214071,-84.404595,0.749,range,TRUE,39061023600,0.0984759671746776,0.8965262379896526,53718,0.0768258781905484,0.16528301886792454,0.0662287903667214,0.3375433117012776,942.9184152234354,2343.1949016230305,0,0
61200600204,9354 FLORAL AV BLUE ASH OH 45242,FALSE,FALSE,39.227722,-84.382689,0.917,range,TRUE,39061023522,0.04161979752530934,0.9437724014336918,58463,0.05963984800925161,0.07237715803452856,0.03159041394335512,0.26951274874320535,314.94147622486236,625.6378664180088,0,0
51000710151,8145 BLANCHETTA DR COLERAIN TOWNSHIP OH 45239,FALSE,FALSE,39.218863,-84.578876,0.764,range,TRUE,39061020762,0.20202874049027894,0.8161546085232904,37153,0.18625561978163135,0.30950840879689523,0.12305411415863603,0.4877896076822731,662.466068394906,588.7226767133009,0,0
52700100025,6827 MT VERNON AV MARIEMONT OH 45227,FALSE,FALSE,39.142696,-84.375735,0.869,range,TRUE,39061024800,0.018799710773680405,0.9858968708682239,90486,0.03495484998543548,0.023955594507741748,0.08893280632411067,0.2028796301183033,3909.5621249159803,252.25413394747397,0,533.2009286738389
22500030012,2385 MONTANA AV CINCINNATI OH 45211,FALSE,FALSE,39.157044,-84.574001,0.922,range,TRUE,39061010002,0.3817821782178218,0.8084243369734789,21417,0.1624784193362747,0.37233838480721276,0.2394578313253012,0.5767941173138759,251.39251979850027,1944.0735605766388,347.2372410654401,0
51000700019,3053 BANNING RD COLERAIN TOWNSHIP OH 45239,FALSE,FALSE,39.211275,-84.585293,0.749,range,TRUE,39061020761,0.14858327574291638,0.8623775031955688,49308,0.09992193598750976,0.11772053083528493,0.06252024619371559,0.3597757714641918,1551.7411978151965,83.53961797869384,0,574.5792285972683
65100520093,4228 FRANKLIN AV NORWOOD OH 45212,FALSE,FALSE,39.155716,-84.462985,0.924,range,TRUE,39061025500,0.24986566362170876,0.7864010989010989,34514,0.20205632543585159,0.25588697017268447,0.13722763096893834,0.504403820004468,1164.2025950314792,250.60183397968365,0,333.94361323692624
14900120025,2388 MARYLAND AV CINCINNATI OH 45204,FALSE,FALSE,39.103255,-84.554964,0.922,range,TRUE,39061009600,0.2245005257623554,0.8114224137931034,34386,0.12854847348687734,0.2579003749330477,0.1937261551504875,0.4733412833599715,2060.9921551597017,95.25575978208732,0,631.3958599462399
59500020243,1532 SOUTHRIDGE LN NORTH COLLEGE HILL OH 45231,FALSE,FALSE,39.222116,-84.546861,0.77,range,TRUE,39061021801,0.17186963979416808,0.9147920927062031,38389,0.15121000487250283,0.22121162904011693,0.07869785082174463,0.409967296073414,351.19327876312116,191.15186022131095,0,461.1333089286354
