id,address,bad_address,PO,score,precision,precise_geocode,fips_tract_id,fraction_assisted_income,fraction_high_school_edu,median_income,fraction_no_health_ins,fraction_poverty,fraction_vacant_housing,dep_index,lat,lon,fips_block_group_id,total_crime,personal_crime,murder,rape,robbery,assault,property_crime,burglary,larceny,motor_vehicle_theft
55000100280,2854 ROSEANN LN GREEN TOWNSHIP OH 45239,FALSE,FALSE,0.754,range,TRUE,39061020811,0.12536443148688048,0.9002262443438914,62639,0.10115336658354114,0.06764339152119701,0.034482758620689655,0.31229679246790604,39.19674,-84.582601,390610208111,46,39,61,44,67,26,47,82,40,21
9800060045,407 SOUTHVIEW AV CINCINNATI OH 45219,FALSE,FALSE,0.922,range,TRUE,39061002700,0.17012987012987013,0.8454987834549879,32313,0.1954756380510441,0.43271461716937354,0.14823008849557523,0.5154698842235717,39.127314,-84.526996,390610027001,286,298,560,141,604,183,285,388,259,259
59100090241,909 GRETNA LN FOREST PARK OH 45240,FALSE,FALSE,0.954,range,TRUE,39061021505,0.15022222222222223,0.8870116156282999,44345,0.11547742157876595,0.10414489724834552,0.12040656763096169,0.3676163423277798,39.28765,-84.510173,390610215051,73,40,38,129,38,27,78,106,76,30
21600460082,222 E CENTRAL PKWY CINCINNATI OH 45202,FALSE,FALSE,0.941,range,TRUE,39061001000,0.3008631319358816,0.883129123468426,40950,0.19365284974093264,0.3270725388601036,0.3491171749598716,0.5259467850062001,39.107766,-84.511008,390610010002,432,427,632,470,761,270,433,368,474,250
50002200628,2367 BRETTON DR ANDERSON TOWNSHIP OH 45244,FALSE,FALSE,0.554,street,TRUE,39061024902,0.034594594594594595,0.9656777196044212,116619,0.04346704501483297,0.015320695923136847,0.033101045296167246,0.17797290118293568,39.106521,-84.352668,390610249025,13,9,14,34,9,4,14,23,12,9
67100040004,1424 JEFFERSON AV READING OH 45215,FALSE,FALSE,0.914,range,TRUE,39061023201,0.23269391159299416,0.829957356076759,34148,0.16718695802983005,0.20922970159611382,0.09984984984984985,0.4591344394258631,39.228281,-84.442817,390610232011,185,109,94,42,221,71,196,207,203,119
5100020177,4506 CAMBERWELL RD CINCINNATI OH 45209,FALSE,FALSE,0.943,range,TRUE,39061005400,0.15895061728395063,0.93854033290653,45556,0.11577868852459017,0.08748728382502544,0.09497206703910614,0.3466133845765114,39.158521,-84.417572,390610054001,394,266,268,155,605,135,414,349,445,313
55000100212,5585 FAIRWOOD RD GREEN TOWNSHIP OH 45239,FALSE,FALSE,0.767,range,TRUE,39061020811,0.12536443148688048,0.9002262443438914,62639,0.10115336658354114,0.06764339152119701,0.034482758620689655,0.31229679246790604,39.191731,-84.581686,390610208111,46,39,61,44,67,26,47,82,40,21
51000810328,6628 JULY CT COLERAIN TOWNSHIP OH 45239,FALSE,FALSE,0.754,range,TRUE,39061020762,0.20202874049027894,0.8161546085232904,37153,0.18625561978163135,0.30950840879689523,0.12305411415863603,0.4877896076822731,39.207945,-84.583429,390610207621,179,139,187,174,209,102,185,252,177,99
61201400371,5126 BRASHER AV BLUE ASH OH 45242,FALSE,FALSE,0.917,range,TRUE,39061023521,0.04244817374136229,0.9649661954517517,65156,0.06153846153846154,0.07378719934773746,0.12747631352282515,0.2695035414677973,39.257199,-84.372962,390610235212,78,21,36,70,25,12,87,51,105,18
19200650054,3708 TAPPAN AV CINCINNATI OH 45223,FALSE,FALSE,0.922,range,TRUE,39061007700,0.5728395061728395,0.6879334257975035,12618,0.09173351935821417,0.6330659225671433,0.20013166556945358,0.7098350249911985,39.154809,-84.555112,390610077002,344,457,794,174,934,286,327,495,272,383
