"id","address","bad_address","PO","score","precision","precise_geocode","fips_tract_id","fraction_assisted_income","fraction_high_school_edu","median_income","fraction_no_health_ins","fraction_poverty","fraction_vacant_housing","dep_index","dist_to_major_road","lon","lat"
"60002310072","8462 WICKLOW AV SYCAMORE TOWNSHIP OH 45236",FALSE,FALSE,0.749,"range",TRUE,39061023600,0.0984759671746776,0.896526237989653,53718,0.0768258781905484,0.165283018867925,0.0662287903667214,0.337543311701278,2842.78644462983,-84.404595,39.214071
"61200600204","9354 FLORAL AV BLUE ASH OH 45242",FALSE,FALSE,0.917,"range",TRUE,39061023522,0.0416197975253093,0.943772401433692,58463,0.0596398480092516,0.0723771580345286,0.0315904139433551,0.269512748743205,1348.97392322145,-84.382689,39.227722
"51000710151","8145 BLANCHETTA DR COLERAIN TOWNSHIP OH 45239",FALSE,FALSE,0.764,"range",TRUE,39061020762,0.202028740490279,0.81615460852329,37153,0.186255619781631,0.309508408796895,0.123054114158636,0.487789607682273,4198.31857646943,-84.578876,39.218863
"52700100025","6827 MT VERNON AV MARIEMONT OH 45227",FALSE,FALSE,0.869,"range",TRUE,39061024800,0.0187997107736804,0.985896870868224,90486,0.0349548499854355,0.0239555945077417,0.0889328063241107,0.202879630118303,3909.56212491598,-84.375735,39.142696
"22500030012","2385 MONTANA AV CINCINNATI OH 45211",FALSE,FALSE,0.922,"range",TRUE,39061010002,0.381782178217822,0.808424336973479,21417,0.162478419336275,0.372338384807213,0.239457831325301,0.576794117313876,251.3925197985,-84.574001,39.157044
"51000700019","3053 BANNING RD COLERAIN TOWNSHIP OH 45239",FALSE,FALSE,0.749,"range",TRUE,39061020761,0.148583275742916,0.862377503195569,49308,0.0999219359875098,0.117720530835285,0.0625202461937156,0.359775771464192,3296.8163262097,-84.585293,39.211275
"65100520093","4228 FRANKLIN AV NORWOOD OH 45212",FALSE,FALSE,0.924,"range",TRUE,39061025500,0.249865663621709,0.786401098901099,34514,0.202056325435852,0.255886970172684,0.137227630968938,0.504403820004468,1264.73161700959,-84.462985,39.155716
"14900120025","2388 MARYLAND AV CINCINNATI OH 45204",FALSE,FALSE,0.922,"range",TRUE,39061009600,0.224500525762355,0.811422413793103,34386,0.128548473486877,0.257900374933048,0.193726155150487,0.473341283359971,2060.9921551597,-84.554964,39.103255
"59500020243","1532 SOUTHRIDGE LN NORTH COLLEGE HILL OH 45231",FALSE,FALSE,0.77,"range",TRUE,39061021801,0.171869639794168,0.914792092706203,38389,0.151210004872503,0.221211629040117,0.0786978508217446,0.409967296073414,5900.18048403963,-84.546861,39.222116
"60800100075","4104 CARRIAGELITE DR SHARONVILLE OH 45241",FALSE,FALSE,0.845,"street",TRUE,39061023001,0.141584622597281,0.866857324435971,42349,0.171663335554075,0.204974461470131,0.0170506912442396,0.406267009696137,1621.87066297438,-84.39074,39.274959
